('frr', '20', Decimal('4.838986'), '80ms')
('baseline_no_udp', '40', Decimal('4.370960'), '80ms')
('baseline_udp', '40', Decimal('4.838986'), '80ms')
('frr_no_udp', '40', Decimal('4.370960'), '80ms')
('frr', '40', Decimal('4.838986'), '80ms')
('baseline_no_udp', '60', Decimal('4.370960'), '80ms')
('baseline_udp', '60', Decimal('4.838986'), '80ms')
('frr_no_udp', '60', Decimal('4.370960'), '80ms')
('frr', '60', Decimal('4.838986'), '80ms')
('baseline_no_udp', '80', Decimal('4.370960'), '80ms')
('baseline_udp', '80', Decimal('4.838986'), '80ms')
('frr_no_udp', '80', Decimal('4.370960'), '80ms')
('frr', '80', Decimal('4.838986'), '80ms')
