('frr', '20', Decimal('8.540880'), '80ms')
('baseline_no_udp', '40', Decimal('4.521973'), '80ms')
('baseline_udp', '40', Decimal('8.540880'), '80ms')
('frr_no_udp', '40', Decimal('4.521973'), '80ms')
('frr', '40', Decimal('8.540880'), '80ms')
('baseline_no_udp', '60', Decimal('4.521973'), '80ms')
('baseline_udp', '60', Decimal('8.540880'), '80ms')
('frr_no_udp', '60', Decimal('4.521973'), '80ms')
('frr', '60', Decimal('8.540880'), '80ms')
('baseline_no_udp', '80', Decimal('4.521973'), '80ms')
('baseline_udp', '80', Decimal('8.540880'), '80ms')
('frr_no_udp', '80', Decimal('4.521973'), '80ms')
('frr', '80', Decimal('8.540880'), '80ms')
