('frr', '60', Decimal('7.972528'), '250Kbps')
('baseline_no_udp', '80', Decimal('4.540704'), '250Kbps')
('baseline_udp', '80', Decimal('6.784368'), '250Kbps')
('frr_no_udp', '80', Decimal('4.540704'), '250Kbps')
('frr', '80', Decimal('8.019623'), '250Kbps')
('baseline_no_udp', '20', Decimal('4.521973'), '300Kbps')
('baseline_udp', '20', Decimal('8.540880'), '300Kbps')
('frr_no_udp', '20', Decimal('4.521973'), '300Kbps')
('frr', '20', Decimal('8.540880'), '300Kbps')
('baseline_no_udp', '40', Decimal('4.521973'), '300Kbps')
('baseline_udp', '40', Decimal('8.540880'), '300Kbps')
('frr_no_udp', '40', Decimal('4.521973'), '300Kbps')
('frr', '40', Decimal('8.540880'), '300Kbps')
('baseline_no_udp', '60', Decimal('4.521973'), '300Kbps')
('baseline_udp', '60', Decimal('8.540880'), '300Kbps')
('frr_no_udp', '60', Decimal('4.521973'), '300Kbps')
('frr', '60', Decimal('8.540880'), '300Kbps')
('baseline_no_udp', '80', Decimal('4.521973'), '300Kbps')
('baseline_udp', '80', Decimal('8.540880'), '300Kbps')
('frr_no_udp', '80', Decimal('4.521973'), '300Kbps')
('frr', '80', Decimal('8.540880'), '300Kbps')
('baseline_no_udp', '20', Decimal('4.503242'), '375Kbps')
('baseline_udp', '20', Decimal('7.797471'), '375Kbps')
('frr_no_udp', '20', Decimal('4.503242'), '375Kbps')
('frr', '20', Decimal('7.797471'), '375Kbps')
('baseline_no_udp', '40', Decimal('4.503242'), '375Kbps')
('baseline_udp', '40', Decimal('7.797471'), '375Kbps')
('frr_no_udp', '40', Decimal('4.503242'), '375Kbps')
('frr', '40', Decimal('7.797471'), '375Kbps')
('baseline_no_udp', '60', Decimal('4.503242'), '375Kbps')
('baseline_udp', '60', Decimal('7.797471'), '375Kbps')
('frr_no_udp', '60', Decimal('4.503242'), '375Kbps')
('frr', '60', Decimal('7.797471'), '375Kbps')
('baseline_no_udp', '80', Decimal('4.503242'), '375Kbps')
('baseline_udp', '80', Decimal('7.797471'), '375Kbps')
('frr_no_udp', '80', Decimal('4.503242'), '375Kbps')
('frr', '80', Decimal('7.797471'), '375Kbps')
